locs,spores,techs,energy_cap,cases,to_locs,names,colors,inheritance,locs_coordinates_lat,locs_coordinates_lon,to_locs_coordinates_lat,to_locs_coordinates_lon,carrier_in,carrier_out,case_spore,spores_numeric
NL,0,pp_ccgt_gas,0.0,spores_eur_2050,,CCGT - Gas,#c2d2f3,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_0,0
NL,0,pp_ccgt_gas_ccs,0.0,spores_eur_2050,,CCGT - Gas /w CCS,#d6f0ef,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_0,0
NL,0,pp_ccgt_hyd,19.38780196063733,spores_eur_2050,,CCGT - Hydrogen,#19122b,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,hydrogen,electricity,spores_eur_2050_0,0
NL,0,pp_nuclear_gen3,0.0,spores_eur_2050,,Nuclear - Gen III,#00bcd4,solid_fuel_power_plants.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,pp_nuclear_smr,0.0,spores_eur_2050,,Nuclear - SMR,#009688,solid_fuel_power_plants.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,pp_ocgt_gas,3.3005209193016967,spores_eur_2050,,OCGT - Gas,#17344c,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_0,0
NL,0,pp_ocgt_hyd,0.6481936289999988,spores_eur_2050,,OCGT - Hydrogen,#185b48,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,hydrogen,electricity,spores_eur_2050_0,0
NL,0,pv_rooftop,40.19245669793653,spores_eur_2050,,Renewables - Rooftop PV,#ffeb3b,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,pv_utility,0.0,spores_eur_2050,,Renewables - Utility PV,#cddc39,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,reformer_atr_ccs_98,0.0,spores_eur_2050,,Reformer - ATR /w CCS,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_0,0
NL,0,reformer_smr,0.0,spores_eur_2050,,Reformer - SMR,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_0,0
NL,0,reformer_smr_ccs_90,0.0,spores_eur_2050,,Reformer - SMR /w CCS,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_0,0
NL,0,saltcavern_gas,3.75,spores_eur_2050,,Salt cavern - Gas,#7e7a36,saltcavern_systems.storage,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_0,0
NL,0,saltcavern_hyd,3.75,spores_eur_2050,,Salt cavern - Hydrogen,#bc7967,saltcavern_systems.storage,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_0,0
NL,0,wind_offshore,2.7619903796510776,spores_eur_2050,,Wind farm - offshore,#4caf50,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,wind_onshore,12.0,spores_eur_2050,,Wind farm - onshore,#8bc34a,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL_1,0,free_transmission:NL,3.6849345959806574,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.96367578600893,6.807852774557378,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_0,0
NL_1,0,transmission_hvac:DE,3.75,spores_eur_2050,DE,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.96367578600893,6.807852774557378,52.02040854483887,7.279926060167003,electricity,electricity,spores_eur_2050_0,0
NL_2,0,free_transmission:NL,3.341007367022464,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.38011179173071,5.075031073065831,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_0,0
NL_2,0,transmission_hvac:BE,3.4000000000000004,spores_eur_2050,BE,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.38011179173071,5.075031073065831,51.31726620661365,4.378136579035989,electricity,electricity,spores_eur_2050_0,0
NL_3,0,free_transmission:NL,2.9897214784355493,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.52388500203772,3.4380682444702297,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_0,0
NL_3,0,transmission_hvdc:UK,3.0000000000000004,spores_eur_2050,UK,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,51.52388500203772,3.4380682444702297,51.41852859078181,0.8455375006800074,electricity,electricity,spores_eur_2050_0,0
NL_4,0,free_transmission:NL,1.3912504699197137,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,53.45675484627952,6.7449528847875175,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_0,0
NL_4,0,transmission_hvdc:DK,0.7000000000000001,spores_eur_2050,DK,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,53.45675484627952,6.7449528847875175,55.4325571130993,8.401542890776913,electricity,electricity,spores_eur_2050_0,0
NL_4,0,transmission_hvdc:NO,0.7000000000000001,spores_eur_2050,NO,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,53.45675484627952,6.7449528847875175,58.0951126628901,6.621045450274671,electricity,electricity,spores_eur_2050_0,0
NO,0,import_elc_interconnector,0.7,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,58.0951126628901,6.621045450274671,,,electricity,electricity,spores_eur_2050_0,0
NO,0,transmission_hvdc:NL_4,0.7000000000000001,spores_eur_2050,NL_4,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,58.0951126628901,6.621045450274671,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_0,0
UK,0,import_elc_interconnector,3.0,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,51.41852859078181,0.8455375006800074,,,electricity,electricity,spores_eur_2050_0,0
UK,0,transmission_hvdc:NL_3,3.0000000000000004,spores_eur_2050,NL_3,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,51.41852859078181,0.8455375006800074,51.52388500203772,3.4380682444702297,electricity,electricity,spores_eur_2050_0,0
BE,1,import_elc_interconnector,3.4,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,51.31726620661365,4.378136579035989,,,electricity,electricity,spores_eur_2050_1,1
