weather_year,techs,locs,carriers,unit,flow_out_sum
2010,biofuel_boiler,AUT_1,heat,twh,19.372256015326617
2010,biofuel_boiler,AUT_2,heat,twh,25.33678302080564
2010,biofuel_boiler,AUT_3,heat,twh,15.089834340340945
2010,biofuel_boiler,BEL_1,heat,twh,39.33874133166322
2010,biofuel_boiler,BGR_1,heat,twh,22.963677795481544
2010,biofuel_boiler,BIH_1,heat,twh,9.430984680245125
2010,biofuel_boiler,CHE_1,heat,twh,24.04553378689977
2010,biofuel_boiler,CHE_2,heat,twh,8.674260171009262
2010,biofuel_boiler,CYP_1,heat,twh,0.0337900187508386
2010,biofuel_boiler,CZE_1,heat,twh,30.625204735320374
2010,biofuel_boiler,CZE_2,heat,twh,21.429674448795296
2010,biofuel_boiler,DEU_1,heat,twh,41.99635185867139
2010,biofuel_boiler,DEU_2,heat,twh,39.39461200656425
2010,biofuel_boiler,DEU_3,heat,twh,28.068600578192523
2010,biofuel_boiler,DEU_4,heat,twh,35.48974364155453
2010,biofuel_boiler,DEU_5,heat,twh,34.844538450460284
2010,biofuel_boiler,DEU_6,heat,twh,27.369052882954197
2010,biofuel_boiler,DEU_7,heat,twh,51.818093902121774
2010,biofuel_boiler,DNK_1,heat,twh,0.5721609648146369
2010,biofuel_boiler,DNK_2,heat,twh,8.333034443465948
2010,biofuel_boiler,ESP_1,heat,twh,0.0240341164386877
2010,biofuel_boiler,ESP_10,heat,twh,0.0351575542904845
2010,biofuel_boiler,ESP_11,heat,twh,0.0361407335777841
2010,biofuel_boiler,ESP_2,heat,twh,0.0286815655403621
2010,biofuel_boiler,ESP_3,heat,twh,0.0400455137363376
2010,biofuel_boiler,ESP_4,heat,twh,0.0325201136105713
2010,biofuel_boiler,ESP_5,heat,twh,0.0361458004858089
2010,biofuel_boiler,ESP_6,heat,twh,0.0407087525584136
2010,biofuel_boiler,ESP_7,heat,twh,0.0468449258365084
2010,biofuel_boiler,ESP_8,heat,twh,0.0415131452161857
2010,biofuel_boiler,ESP_9,heat,twh,0.0328297064500938
2010,biofuel_boiler,EST_1,heat,twh,12.467294952119191
2010,biofuel_boiler,FIN_1,heat,twh,9.083453352803788
2010,biofuel_boiler,FIN_2,heat,twh,53.99445946970143
2010,biofuel_boiler,FRA_1,heat,twh,0.1500594684852805
2010,biofuel_boiler,FRA_10,heat,twh,11.24740266946592
2010,biofuel_boiler,FRA_11,heat,twh,13.965678991975537
2010,biofuel_boiler,FRA_12,heat,twh,25.0996498378082
2010,biofuel_boiler,FRA_13,heat,twh,17.478939595116554
2010,biofuel_boiler,FRA_14,heat,twh,6.0867305305509305
2010,biofuel_boiler,FRA_15,heat,twh,0.0495255628380245
2010,biofuel_boiler,FRA_2,heat,twh,0.1847241126400641
2010,biofuel_boiler,FRA_3,heat,twh,0.08835991215069
2010,biofuel_boiler,FRA_4,heat,twh,0.2342199116452707
2010,biofuel_boiler,FRA_5,heat,twh,14.449827799668563
2010,biofuel_boiler,FRA_6,heat,twh,13.565634808960658
2010,biofuel_boiler,FRA_7,heat,twh,18.78785689895304
2010,biofuel_boiler,FRA_8,heat,twh,0.0701528782644101
2010,biofuel_boiler,FRA_9,heat,twh,0.1555111694329216
2010,biofuel_boiler,GBR_1,heat,twh,0.0977476850808026
2010,biofuel_boiler,GBR_2,heat,twh,0.0752778659252107
2010,biofuel_boiler,GBR_3,heat,twh,0.1026868294607514
2010,biofuel_boiler,GBR_4,heat,twh,0.0517324330671364
2010,biofuel_boiler,GBR_5,heat,twh,0.0382077226148871
2010,biofuel_boiler,GBR_6,heat,twh,0.0387178827562123
2010,biofuel_boiler,GRC_1,heat,twh,0.1330163551942775
2010,biofuel_boiler,GRC_2,heat,twh,0.0628042670210249
2010,biofuel_boiler,HRV_1,heat,twh,12.015751611919208
2010,biofuel_boiler,HUN_1,heat,twh,51.11340910003767
2010,biofuel_boiler,IRL_1,heat,twh,0.0580207652326816
2010,biofuel_boiler,ITA_1,heat,twh,49.426113169538624
2010,biofuel_boiler,ITA_2,heat,twh,0.2167697154772454
2010,biofuel_boiler,ITA_3,heat,twh,0.0578282321360405
2010,biofuel_boiler,ITA_4,heat,twh,0.0547523028801076
2010,biofuel_boiler,ITA_5,heat,twh,0.0386292256767038
2010,biofuel_boiler,ITA_6,heat,twh,0.0406468271925624
2010,biofuel_boiler,LTU_1,heat,twh,18.12852833903548
2010,biofuel_boiler,LUX_1,heat,twh,1.70895734364666
2010,biofuel_boiler,LVA_1,heat,twh,16.977583994222808
2010,biofuel_boiler,MKD_1,heat,twh,4.919873038022846
2010,biofuel_boiler,MNE_1,heat,twh,0.2303442158594724
2010,biofuel_boiler,NLD_1,heat,twh,31.367401648005227
2010,biofuel_boiler,NOR_1,heat,twh,0.2238775312639677
2010,biofuel_boiler,NOR_2,heat,twh,6.258803398070226
2010,biofuel_boiler,NOR_3,heat,twh,3.6112665064652023
2010,biofuel_boiler,NOR_4,heat,twh,13.47463010447889
2010,biofuel_boiler,NOR_5,heat,twh,3.5603894337909523
2010,biofuel_boiler,NOR_6,heat,twh,4.655236947060606
2010,biofuel_boiler,NOR_7,heat,twh,0.1242792364983944
2010,biofuel_boiler,POL_1,heat,twh,31.512445792893693
2010,biofuel_boiler,POL_2,heat,twh,24.13919881239606
2010,biofuel_boiler,POL_3,heat,twh,17.90192813782753
2010,biofuel_boiler,POL_4,heat,twh,34.367465295426186
2010,biofuel_boiler,POL_5,heat,twh,30.285793315709256
2010,biofuel_boiler,PRT_1,heat,twh,0.0275359913668898
2010,biofuel_boiler,PRT_2,heat,twh,0.0313783239425369
2010,biofuel_boiler,ROU_1,heat,twh,20.457917848292688
2010,biofuel_boiler,ROU_2,heat,twh,32.763021619662084
2010,biofuel_boiler,ROU_3,heat,twh,25.125428281710946
2010,biofuel_boiler,SRB_1,heat,twh,27.09221595428517
2010,biofuel_boiler,SVK_1,heat,twh,24.254974732744003
2010,biofuel_boiler,SVN_1,heat,twh,15.139210405592944
2010,biofuel_boiler,SWE_1,heat,twh,2.2422014495640887
2010,biofuel_boiler,SWE_2,heat,twh,7.830592264702558
2010,biofuel_boiler,SWE_3,heat,twh,58.4071794822885
2010,biofuel_boiler,SWE_4,heat,twh,9.965430076225658
2010,biofuel_supply,ALB_1,biofuel,twh,5.831031470643923
2010,biofuel_supply,AUT_1,biofuel,twh,24.269949003046783
2010,biofuel_supply,AUT_2,biofuel,twh,31.724303509425862
2010,biofuel_supply,AUT_3,biofuel,twh,18.89480440857088
2010,biofuel_supply,BEL_1,biofuel,twh,49.22229345169402
2010,biofuel_supply,BGR_1,biofuel,twh,30.943695921948738
2010,biofuel_supply,BIH_1,biofuel,twh,12.333285605104976
2010,biofuel_supply,CHE_1,biofuel,twh,30.11809443034281
2010,biofuel_supply,CHE_2,biofuel,twh,10.882045767671311
2010,biofuel_supply,CYP_1,biofuel,twh,2.110439007762913
2010,biofuel_supply,CZE_1,biofuel,twh,38.31873044733232
2010,biofuel_supply,CZE_2,biofuel,twh,26.820304510092384
2010,biofuel_supply,DEU_1,biofuel,twh,52.53017594032191
2010,biofuel_supply,DEU_2,biofuel,twh,49.27774507324655
2010,biofuel_supply,DEU_3,biofuel,twh,35.122552337822256
2010,biofuel_supply,DEU_4,biofuel,twh,44.39730494004884
2010,biofuel_supply,DEU_5,biofuel,twh,43.59744685634493
2010,biofuel_supply,DEU_6,biofuel,twh,34.253580336957484
2010,biofuel_supply,DEU_7,biofuel,twh,64.82170375355676
2010,biofuel_supply,DNK_1,biofuel,twh,9.378552600167108
2010,biofuel_supply,DNK_2,biofuel,twh,10.46627757280458
2010,biofuel_supply,ESP_1,biofuel,twh,8.682681269563968
2010,biofuel_supply,ESP_10,biofuel,twh,10.108523933133792
2010,biofuel_supply,ESP_11,biofuel,twh,10.568177685764104
2010,biofuel_supply,ESP_2,biofuel,twh,10.62207543434047
2010,biofuel_supply,ESP_3,biofuel,twh,10.688104409889258
2010,biofuel_supply,ESP_4,biofuel,twh,8.578212061325623
2010,biofuel_supply,ESP_5,biofuel,twh,6.561338854846728
2010,biofuel_supply,ESP_6,biofuel,twh,10.288181399289758
2010,biofuel_supply,ESP_7,biofuel,twh,4.084328054957074
2010,biofuel_supply,ESP_8,biofuel,twh,10.539029503596725
2010,biofuel_supply,ESP_9,biofuel,twh,7.661362790237823
2010,biofuel_supply,EST_1,biofuel,twh,23.923676450594165
2010,biofuel_supply,FIN_1,biofuel,twh,26.76204671098641
2010,biofuel_supply,FIN_2,biofuel,twh,67.54033123636029
2010,biofuel_supply,FRA_1,biofuel,twh,12.48726524291347
2010,biofuel_supply,FRA_10,biofuel,twh,14.111249219243115
2010,biofuel_supply,FRA_11,biofuel,twh,17.54481380978462
2010,biofuel_supply,FRA_12,biofuel,twh,31.429055827093737
2010,biofuel_supply,FRA_13,biofuel,twh,21.92628054231903
2010,biofuel_supply,FRA_14,biofuel,twh,7.653277503100687
2010,biofuel_supply,FRA_15,biofuel,twh,8.64154991774473
2010,biofuel_supply,FRA_2,biofuel,twh,11.034845293468637
2010,biofuel_supply,FRA_3,biofuel,twh,10.64359271105389
2010,biofuel_supply,FRA_4,biofuel,twh,11.03787307386962
2010,biofuel_supply,FRA_5,biofuel,twh,32.39657811305301
2010,biofuel_supply,FRA_6,biofuel,twh,17.05210162411407
2010,biofuel_supply,FRA_7,biofuel,twh,23.577655812941217
2010,biofuel_supply,FRA_8,biofuel,twh,10.598145351058808
2010,biofuel_supply,FRA_9,biofuel,twh,9.654597309827617
2010,biofuel_supply,GBR_1,biofuel,twh,6.053953142443234
2010,biofuel_supply,GBR_2,biofuel,twh,6.548198557796953
2010,biofuel_supply,GBR_3,biofuel,twh,10.17859130403922
2010,biofuel_supply,GBR_4,biofuel,twh,10.619582308994111
2010,biofuel_supply,GBR_5,biofuel,twh,10.639842983674452
2010,biofuel_supply,GBR_6,biofuel,twh,1.5397771813494872
2010,biofuel_supply,GRC_1,biofuel,twh,9.623152621526335
2010,biofuel_supply,GRC_2,biofuel,twh,6.574105039205245
2010,biofuel_supply,HRV_1,biofuel,twh,15.08340137550523
2010,biofuel_supply,HUN_1,biofuel,twh,63.94451512541255
2010,biofuel_supply,IRL_1,biofuel,twh,7.614089299668521
2010,biofuel_supply,ITA_1,biofuel,twh,61.851239796819385
2010,biofuel_supply,ITA_2,biofuel,twh,9.73452761234618
2010,biofuel_supply,ITA_3,biofuel,twh,9.291861055664544
2010,biofuel_supply,ITA_4,biofuel,twh,10.581765408033908
2010,biofuel_supply,ITA_5,biofuel,twh,7.850820046928788
2010,biofuel_supply,ITA_6,biofuel,twh,8.52864365935063
2010,biofuel_supply,LTU_1,biofuel,twh,30.27272718437476
2010,biofuel_supply,LUX_1,biofuel,twh,2.166725393086834
2010,biofuel_supply,LVA_1,biofuel,twh,34.04647881146907
2010,biofuel_supply,MKD_1,biofuel,twh,6.416695075041178
2010,biofuel_supply,MNE_1,biofuel,twh,7.96691943828347
2010,biofuel_supply,NLD_1,biofuel,twh,39.25007198389521
2010,biofuel_supply,NOR_1,biofuel,twh,6.201448019508083
2010,biofuel_supply,NOR_2,biofuel,twh,7.874593273715163
2010,biofuel_supply,NOR_3,biofuel,twh,6.385493590213448
2010,biofuel_supply,NOR_4,biofuel,twh,16.881596848554
2010,biofuel_supply,NOR_5,biofuel,twh,7.077678990349598
2010,biofuel_supply,NOR_6,biofuel,twh,14.004014866894783
2010,biofuel_supply,NOR_7,biofuel,twh,0.1754858066977881
2010,biofuel_supply,POL_1,biofuel,twh,39.41685289868853
2010,biofuel_supply,POL_2,biofuel,twh,30.20575605821052
2010,biofuel_supply,POL_3,biofuel,twh,22.408302655754724
2010,biofuel_supply,POL_4,biofuel,twh,42.99085773872142
2010,biofuel_supply,POL_5,biofuel,twh,37.89526444209263
2010,biofuel_supply,PRT_1,biofuel,twh,11.58615043148956
2010,biofuel_supply,PRT_2,biofuel,twh,7.870831974595395
2010,biofuel_supply,ROU_1,biofuel,twh,37.872740477138805
2010,biofuel_supply,ROU_2,biofuel,twh,41.00657161816807
2010,biofuel_supply,ROU_3,biofuel,twh,31.46151471080192
2010,biofuel_supply,SRB_1,biofuel,twh,33.94450865300782
2010,biofuel_supply,SVK_1,biofuel,twh,30.36118299373031
2010,biofuel_supply,SVN_1,biofuel,twh,20.86061338262689
2010,biofuel_supply,SWE_1,biofuel,twh,17.07767291453347
2010,biofuel_supply,SWE_2,biofuel,twh,33.58720416442684
2010,biofuel_supply,SWE_3,biofuel,twh,73.07613870345321
2010,biofuel_supply,SWE_4,biofuel,twh,19.78633227957811
2010,biofuel_to_diesel,ALB_1,diesel,twh,3.394495711677182
2010,biofuel_to_diesel,AUT_1,diesel,twh,0.0153848765607459
2010,biofuel_to_diesel,AUT_2,diesel,twh,0.0098208969616864
2010,biofuel_to_diesel,AUT_3,diesel,twh,0.0040267417304232
2010,biofuel_to_diesel,BEL_1,diesel,twh,0.0098984098524447
2010,biofuel_to_diesel,BGR_1,diesel,twh,1.282324731069958
2010,biofuel_to_diesel,BIH_1,diesel,twh,0.2739988793895715
2010,biofuel_to_diesel,CHE_1,diesel,twh,0.0120919983811453
2010,biofuel_to_diesel,CHE_2,diesel,twh,0.0019941785352518
2010,biofuel_to_diesel,CYP_1,diesel,twh,1.2229600660488846
2010,biofuel_to_diesel,CZE_1,diesel,twh,0.0059899503561618
2010,biofuel_to_diesel,CZE_2,diesel,twh,0.00459402452629
2010,biofuel_to_diesel,DEU_1,diesel,twh,0.0059818419980429
2010,biofuel_to_diesel,DEU_2,diesel,twh,0.0057634078509241
2010,biofuel_to_diesel,DEU_3,diesel,twh,0.0053580721115726
2010,biofuel_to_diesel,DEU_4,diesel,twh,0.005614345695785
2010,biofuel_to_diesel,DEU_5,diesel,twh,0.0072755172924967
2010,biofuel_to_diesel,DEU_6,diesel,twh,0.0068866963632191
2010,biofuel_to_diesel,DEU_7,diesel,twh,0.0108396491619444
2010,biofuel_to_diesel,DNK_1,diesel,twh,5.180307430333855
2010,biofuel_to_diesel,DNK_2,diesel,twh,0.0156866686686552
2010,biofuel_to_diesel,ESP_1,diesel,twh,5.138977027665256
2010,biofuel_to_diesel,ESP_10,diesel,twh,6.023735040003963
2010,biofuel_to_diesel,ESP_11,diesel,twh,6.265337239096927
2010,biofuel_to_diesel,ESP_2,diesel,twh,6.2994385311188825
2010,biofuel_to_diesel,ESP_3,diesel,twh,6.329257551537603
2010,biofuel_to_diesel,ESP_4,diesel,twh,5.108052727085111
2010,biofuel_to_diesel,ESP_5,diesel,twh,3.895062019682383
2010,biofuel_to_diesel,ESP_6,diesel,twh,6.0923150493473655
2010,biofuel_to_diesel,ESP_7,diesel,twh,2.4017323713953598
2010,biofuel_to_diesel,ESP_8,diesel,twh,6.23973260200531
2010,biofuel_to_diesel,ESP_9,diesel,twh,4.526237038432032
2010,biofuel_to_diesel,EST_1,diesel,twh,4.983830641740862
2010,biofuel_to_diesel,FIN_1,diesel,twh,9.225700936419209
2010,biofuel_to_diesel,FIN_2,diesel,twh,0.0098529275427896
2010,biofuel_to_diesel,FRA_1,diesel,twh,7.314063642374133
2010,biofuel_to_diesel,FRA_10,diesel,twh,0.01080993577895
2010,biofuel_to_diesel,FRA_11,diesel,twh,0.0357224065571291
2010,biofuel_to_diesel,FRA_12,diesel,twh,0.0110288574956833
2010,biofuel_to_diesel,FRA_13,diesel,twh,0.0208019767181095
2010,biofuel_to_diesel,FRA_14,diesel,twh,0.0125909800128441
2010,biofuel_to_diesel,FRA_15,diesel,twh,5.130596824691036
2010,biofuel_to_diesel,FRA_2,diesel,twh,6.420891673239048
2010,biofuel_to_diesel,FRA_3,diesel,twh,6.262653470793895
2010,biofuel_to_diesel,FRA_4,diesel,twh,6.4299393960099245
2010,biofuel_to_diesel,FRA_5,diesel,twh,8.5821364269591
2010,biofuel_to_diesel,FRA_6,diesel,twh,0.0279489134864515
2010,biofuel_to_diesel,FRA_7,diesel,twh,0.0253047595645437
2010,biofuel_to_diesel,FRA_8,diesel,twh,6.253190217306203
2010,biofuel_to_diesel,FRA_9,diesel,twh,5.660438818203602
2010,biofuel_to_diesel,GBR_1,diesel,twh,3.5435438884993813
2010,biofuel_to_diesel,GBR_2,diesel,twh,3.857686569384682
2010,biofuel_to_diesel,GBR_3,diesel,twh,5.978825593821256
2010,biofuel_to_diesel,GBR_4,diesel,twh,6.282471382513856
2010,biofuel_to_diesel,GBR_5,diesel,twh,6.297468643427477
2010,biofuel_to_diesel,GBR_6,diesel,twh,0.8532496139767194
2010,biofuel_to_diesel,GRC_1,diesel,twh,5.624174324583174
2010,biofuel_to_diesel,GRC_2,diesel,twh,3.880900077051417
2010,biofuel_to_diesel,HRV_1,diesel,twh,0.0150818928654666
2010,biofuel_to_diesel,HUN_1,diesel,twh,0.0115689514868523
2010,biofuel_to_diesel,IRL_1,diesel,twh,4.508276128924693
2010,biofuel_to_diesel,ITA_1,diesel,twh,0.0178319081252846
2010,biofuel_to_diesel,ITA_2,diesel,twh,5.62184682073563
2010,biofuel_to_diesel,ITA_3,diesel,twh,5.478963464208364
2010,biofuel_to_diesel,ITA_4,diesel,twh,6.256602248707446
2010,biofuel_to_diesel,ITA_5,diesel,twh,4.633526889568266
2010,biofuel_to_diesel,ITA_6,diesel,twh,5.037995884189582
2010,biofuel_to_diesel,LTU_1,diesel,twh,4.503223688153664
2010,biofuel_to_diesel,LUX_1,diesel,twh,0.0055709442094696
2010,biofuel_to_diesel,LVA_1,diesel,twh,7.621835154596093
2010,biofuel_to_diesel,MKD_1,diesel,twh,0.1176358605634369
2010,biofuel_to_diesel,MNE_1,diesel,twh,4.5530415956623775
2010,biofuel_to_diesel,NLD_1,diesel,twh,0.0072983311535838
2010,biofuel_to_diesel,NOR_1,diesel,twh,3.5373311928351243
2010,biofuel_to_diesel,NOR_2,diesel,twh,0.0107127153372398
2010,biofuel_to_diesel,NOR_3,diesel,twh,1.0760107511148034
2010,biofuel_to_diesel,NOR_4,diesel,twh,0.0063603379344533
2010,biofuel_to_diesel,NOR_5,diesel,twh,1.5281282539823478
2010,biofuel_to_diesel,NOR_6,diesel,twh,4.857097458561636
2010,biofuel_to_diesel,NOR_7,diesel,twh,0.0011247693204299
2010,biofuel_to_diesel,POL_1,diesel,twh,0.0035861448847516
2010,biofuel_to_diesel,POL_2,diesel,twh,0.0045708054760305
2010,biofuel_to_diesel,POL_3,diesel,twh,0.0042206605809209
2010,biofuel_to_diesel,POL_4,diesel,twh,0.0048345629359999
2010,biofuel_to_diesel,POL_5,diesel,twh,0.0062426705858225
2010,biofuel_to_diesel,PRT_1,diesel,twh,6.867809491569626
2010,biofuel_to_diesel,PRT_2,diesel,twh,4.643345094356352
2010,biofuel_to_diesel,ROU_1,diesel,twh,7.311712721814272
2010,biofuel_to_diesel,ROU_2,diesel,twh,0.0100177054203687
2010,biofuel_to_diesel,ROU_3,diesel,twh,0.0101739554685029
2010,biofuel_to_diesel,SRB_1,diesel,twh,0.0200574223578503
2010,biofuel_to_diesel,SVK_1,diesel,twh,0.0070704262749402
2010,biofuel_to_diesel,SVN_1,diesel,twh,1.0996046683131335
2010,biofuel_to_diesel,SWE_1,diesel,twh,8.548262907836913
2010,biofuel_to_diesel,SWE_2,diesel,twh,14.263991722278632
2010,biofuel_to_diesel,SWE_3,diesel,twh,0.0166101916026875
2010,biofuel_to_diesel,SWE_4,diesel,twh,4.3418393789183245
2010,biofuel_to_methane,ALB_1,methane,twh,0.005890701781656
2010,biofuel_to_methane,AUT_1,methane,twh,0.0042124890756968
2010,biofuel_to_methane,AUT_2,methane,twh,0.0034794359160689
2010,biofuel_to_methane,AUT_3,methane,twh,0.0022554200999337
2010,biofuel_to_methane,BEL_1,methane,twh,0.0027482427705367
2010,biofuel_to_methane,BGR_1,methane,twh,0.0046893230097656
2010,biofuel_to_methane,BIH_1,methane,twh,0.0063955423869368
2010,biofuel_to_methane,CHE_1,methane,twh,0.0049302498957227
2010,biofuel_to_methane,CHE_2,methane,twh,0.0048049105270181
2010,biofuel_to_methane,CYP_1,methane,twh,0.0044967135461572
2010,biofuel_to_methane,CZE_1,methane,twh,0.0024343456368118
2010,biofuel_to_methane,CZE_2,methane,twh,0.0022574558139221
2010,biofuel_to_methane,DEU_1,methane,twh,0.0020342194861335
2010,biofuel_to_methane,DEU_2,methane,twh,0.0022536389167829
2010,biofuel_to_methane,DEU_3,methane,twh,0.0022493467586583
2010,biofuel_to_methane,DEU_4,methane,twh,0.0022853247600271
2010,biofuel_to_methane,DEU_5,methane,twh,0.0025493669802567
2010,biofuel_to_methane,DEU_6,methane,twh,0.0027684606015879
2010,biofuel_to_methane,DEU_7,methane,twh,0.0027620288403594
2010,biofuel_to_methane,DNK_1,methane,twh,0.0049561220138504
2010,biofuel_to_methane,DNK_2,methane,twh,0.0034539778772999
2010,biofuel_to_methane,ESP_1,methane,twh,0.0042521492437042
2010,biofuel_to_methane,ESP_10,methane,twh,0.004233210717567
2010,biofuel_to_methane,ESP_11,methane,twh,0.0042494189067798
2010,biofuel_to_methane,ESP_2,methane,twh,0.0043686220805453
2010,biofuel_to_methane,ESP_3,methane,twh,0.0045894337890469
2010,biofuel_to_methane,ESP_4,methane,twh,0.0039870449154602
2010,biofuel_to_methane,ESP_5,methane,twh,0.0040146249923099
2010,biofuel_to_methane,ESP_6,methane,twh,0.0039659693601158
2010,biofuel_to_methane,ESP_7,methane,twh,0.0038481876710688
2010,biofuel_to_methane,ESP_8,methane,twh,0.0044676714694551
2010,biofuel_to_methane,ESP_9,methane,twh,0.0038377024453339
2010,biofuel_to_methane,EST_1,methane,twh,0.0071100655995818
2010,biofuel_to_methane,FIN_1,methane,twh,0.0064440397243338
2010,biofuel_to_methane,FIN_2,methane,twh,0.0034929288907885
2010,biofuel_to_methane,FRA_1,methane,twh,0.0047294759223983
2010,biofuel_to_methane,FRA_10,methane,twh,0.0030620418171745
2010,biofuel_to_methane,FRA_11,methane,twh,0.0044251124945166
2010,biofuel_to_methane,FRA_12,methane,twh,0.0033568102536606
2010,biofuel_to_methane,FRA_13,methane,twh,0.0036182357416158
2010,biofuel_to_methane,FRA_14,methane,twh,0.0032963434533895
2010,biofuel_to_methane,FRA_15,methane,twh,0.0045086201982256
