,techs,locs,carriers,spores,total_carrier_con,case,names,colors,inheritance,lat_coords,lon_coords,carrier_in,carrier_out
37,bss_liion,NL,electricity,35,-1274.0791732640248,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
38,bss_liion,NL,electricity,36,-476.99915558895475,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
39,bss_liion,NL,electricity,23,-893.4744250739044,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
40,bss_liion,NL,electricity,37,-594.3576536953984,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
41,bss_liion,NL,electricity,22,-29.863801139115875,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
42,bss_liion,NL,electricity,38,-737.7249048320964,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
43,bss_liion,NL,electricity,39,-51.38345843744619,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
44,bss_liion,NL,electricity,21,-1264.0851141706391,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
45,bss_liion,NL,electricity,4,-8.451595001671175,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
46,bss_liion,NL,electricity,20,-1339.6005690238094,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
47,bss_liion,NL,electricity,40,-941.4931319343459,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
48,bss_liion,NL,electricity,24,-32.63080539852509,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
49,bss_liion,NL,electricity,0,-14103.391384485732,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
50,bss_liion,NL,electricity,3,-2.269831515197774,spores_eur_2050,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
51,bss_nas,NL,electricity,39,-1199.8995061156627,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
52,bss_nas,NL,electricity,35,-24.14922078007941,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
53,bss_nas,NL,electricity,24,-1449.0241827740788,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
54,bss_nas,NL,electricity,41,-1271.678931984452,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
55,bss_nas,NL,electricity,36,-830.4738612550954,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
56,bss_nas,NL,electricity,14,-11.134690722559599,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
57,bss_nas,NL,electricity,23,-85.523180010674,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
58,bss_nas,NL,electricity,2,-5.170948500828523,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
59,bss_nas,NL,electricity,49,-1029.093525702106,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
60,bss_nas,NL,electricity,37,-582.837442607388,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
61,bss_nas,NL,electricity,22,-1769.3733368228443,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
62,bss_nas,NL,electricity,13,-1268.4277353216312,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
63,bss_nas,NL,electricity,38,-252.9920685850608,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
64,bss_nas,NL,electricity,47,-963.7869892105882,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
65,bss_nas,NL,electricity,0,-8749.731926124023,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
66,bss_nas,NL,electricity,9,-1627.480227831992,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
67,bss_nas,NL,electricity,40,-141.27821767361863,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
68,bss_nas,NL,electricity,21,-225.03258546507462,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
69,bss_nas,NL,electricity,1,-1.674688961990657,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
70,bss_nas,NL,electricity,12,-196.14824263786875,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
71,bss_nas,NL,electricity,8,-13.203242080256555,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
72,bss_nas,NL,electricity,50,-38.739029996117786,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
73,bss_nas,NL,electricity,20,-17.52392215963386,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
